asset_id,name,product_code,family,category,review_status,catalog_approved,filename,sha256,reference_offer,prompt_status
AI-a0853aa013791e2c,Classic Bookmark,PRODUCT_14E8E11647021DDBFDC0,bookmark,text-generated-illustration,AI / ยังไม่ยืนยันตรงรุ่นสินค้า,False,images/PRODUCT_14E8E11647021DDBFDC0-a0853aa013.png,a0853aa013791e2c828af54e25c1caec3b22c7f6016f31998b6f2d1c4d0d3243,,not recovered
AI-9272318de3e8f2a8,Fan,PRODUCT_06FDB3EA033955A639DD,fan,text-generated-illustration,AI / ยังไม่ยืนยันตรงรุ่นสินค้า,False,images/PRODUCT_06FDB3EA033955A639DD-9272318de3.png,9272318de3e8f2a83364e42e02daabd096d4ece099f251c2f27c81d0930495a3,,not recovered
AI-53d14b8d6865595b,Neck Fan,PRODUCT_08A68D51611C7EF1CA8F,fan,text-generated-illustration,AI / ยังไม่ยืนยันตรงรุ่นสินค้า,False,images/PRODUCT_08A68D51611C7EF1CA8F-53d14b8d68.png,53d14b8d6865595bed372257caa6cd2196c7efa4417357ee7eab443e5da60ed8,,not recovered
AI-e68bd2790606f52d,Moka Pot,PRODUCT_14EBE40EEE4E19DAD35E,,text-generated-illustration,AI / ยังไม่ยืนยันตรงรุ่นสินค้า,False,images/PRODUCT_14EBE40EEE4E19DAD35E-e68bd27906.png,e68bd2790606f52d8a620b21865065ef8a9f22a57bd7833cf2e8dded32d0cc72,,not recovered
AI-d9d2a4d4c5517e8d,Power Bank,PRODUCT_08EE331E6298B2CE6E60,power_bank,text-generated-illustration,AI / ยังไม่ยืนยันตรงรุ่นสินค้า,False,images/PRODUCT_08EE331E6298B2CE6E60-d9d2a4d4c5.png,d9d2a4d4c5517e8d0a435b7d7435427d7269db1efb30a24a520e2fd5879560f5,,not recovered
AI-3fa8c3ff863a78db,Massage Gun,PRODUCT_159A7CF4D274A9414218,massage_gun,text-generated-illustration,AI / ยังไม่ยืนยันตรงรุ่นสินค้า,False,images/PRODUCT_159A7CF4D274A9414218-3fa8c3ff86.png,3fa8c3ff863a78db78404d8f3ad44c5c7fbdbf9b9a02b7fafe01a3257a2bf261,,not recovered
AI-080d15b6c72ef788,Pen With,PRODUCT_1578D647F57EA5CFC3BB,pen,text-generated-illustration,AI / ยังไม่ยืนยันตรงรุ่นสินค้า,False,images/PRODUCT_1578D647F57EA5CFC3BB-080d15b6c7.png,080d15b6c72ef788c79d50de5eacdbce25f392bbd2a8e4f0a216d7890cd605b9,,not recovered
AI-bdc12f1d0579cf96,Name Card Holder,PRODUCT_15A21FF02931F9E07A4F,name_card_holder,text-generated-illustration,AI / ยังไม่ยืนยันตรงรุ่นสินค้า,False,images/PRODUCT_15A21FF02931F9E07A4F-bdc12f1d05.png,bdc12f1d0579cf960ab93f3b98b204afa17d43eaa38062aa5ea1946d8161babb,,not recovered
AI-69103d16150e6466,55°c Cup Set,PRODUCT_09A9775E4764DB329CDF,drinkware,text-generated-illustration,AI / ยังไม่ยืนยันตรงรุ่นสินค้า,False,images/PRODUCT_09A9775E4764DB329CDF-69103d1615.png,69103d16150e6466ecbb08ba0957455bc88d63cd14b4449950521c69687adeff,,not recovered
AI-c51f98d77f65dc68,Usb Flash Drive Flash Drive,PRODUCT_1608A45171CC73998079,usb_flash_drive,text-generated-illustration,AI / ยังไม่ยืนยันตรงรุ่นสินค้า,False,images/PRODUCT_1608A45171CC73998079-c51f98d77f.png,c51f98d77f65dc6850377d649c965b350c22aea74a4982368ca6291229c119ff,,not recovered
AI-2f57096c6ccca1c8,Single-spout Coffee Distributor,PRODUCT_0B09041198CD5B3158C9,,text-generated-illustration,AI / ยังไม่ยืนยันตรงรุ่นสินค้า,False,images/PRODUCT_0B09041198CD5B3158C9-2f57096c6c.png,2f57096c6ccca1c81a453b486b42fbcb8844214e0eaee9e336646bdeee7a949a,,not recovered
AI-f90d8aa3acd5799a,Notebook,PRODUCT_16A0E81AD6C15FC141EE,notebook,text-generated-illustration,AI / ยังไม่ยืนยันตรงรุ่นสินค้า,False,images/PRODUCT_16A0E81AD6C15FC141EE-f90d8aa3ac.png,f90d8aa3acd5799afddb2ae92140af03d9d0767e3b21afc876cd65cef79c9026,,not recovered
AI-7e8df8934faf2f60,Umbrella In,PRODUCT_0BC99E21A918E1DA582B,umbrella,text-generated-illustration,AI / ยังไม่ยืนยันตรงรุ่นสินค้า,False,images/PRODUCT_0BC99E21A918E1DA582B-7e8df8934f.png,7e8df8934faf2f60421adba192c6f27dd0b2261f9640c9a53ced4681166babd9,,not recovered
AI-570c71f4dfc70c93,Vacuum Flask,PRODUCT_1704156AA45EEA3999C7,drinkware,text-generated-illustration,AI / ยังไม่ยืนยันตรงรุ่นสินค้า,False,images/PRODUCT_1704156AA45EEA3999C7-570c71f4df.png,570c71f4dfc70c93046327d5c35aa0b70947678b34466b08c2b517073e7f3299,,not recovered
AI-9d5bf14f55f35321,Magnetic Power Bank,PRODUCT_1A433A65248388CB7CC9,power_bank,text-generated-illustration,AI / ยังไม่ยืนยันตรงรุ่นสินค้า,False,images/PRODUCT_1A433A65248388CB7CC9-9d5bf14f55.png,9d5bf14f55f353210ceedaa3bb6044af13b9c94ff5ec87310c55a13c71e4896f,,not recovered
AI-c6bf1134e814c973,Vintage Flower Style Thermos Cup,PRODUCT_0C2A1023C5B1A644ACCC,drinkware,text-generated-illustration,AI / ยังไม่ยืนยันตรงรุ่นสินค้า,False,images/PRODUCT_0C2A1023C5B1A644ACCC-c6bf1134e8.png,c6bf1134e814c973d06fffe7886908307a4ac5153897c868879411bcc51560d5,,not recovered
AI-4aa11983c0fb03ed,Air Cushion Comb,PRODUCT_175ED3018ED228F0FEE8,,text-generated-illustration,AI / ยังไม่ยืนยันตรงรุ่นสินค้า,False,images/PRODUCT_175ED3018ED228F0FEE8-4aa11983c0.png,4aa11983c0fb03ed4fdf0eeb56e08cddeabe4264923ea3b79362f60b9bd7ce45,,not recovered
AI-f8d143fc3dea2d86,Foldable Keyboard,PRODUCT_1A56480379848277E183,keyboard,text-generated-illustration,AI / ยังไม่ยืนยันตรงรุ่นสินค้า,False,images/PRODUCT_1A56480379848277E183-f8d143fc3d.png,f8d143fc3dea2d86b072e74cb75ad4d54644cb7c3ed4a27bf94e135f2819d978,,not recovered
AI-06c3196eb2f9cb3f,Vacuum Cup,PRODUCT_0F0D96CEEA469CA7F957,drinkware,text-generated-illustration,AI / ยังไม่ยืนยันตรงรุ่นสินค้า,False,images/PRODUCT_0F0D96CEEA469CA7F957-06c3196eb2.png,06c3196eb2f9cb3f159452b6db72696c990abd8b094b84a944c70ef86658a4d1,,not recovered
AI-d0fbc02d22671f95,Foldable Fan,PRODUCT_0F16875BE4B21DB9588E,fan,text-generated-illustration,AI / ยังไม่ยืนยันตรงรุ่นสินค้า,False,images/PRODUCT_0F16875BE4B21DB9588E-d0fbc02d22.png,d0fbc02d22671f9538e2a4279e9e9170c47b0799340333ba458539203eb3e8d7,,not recovered
AI-d4ff8022b5199dbc,Umbrella Set,PRODUCT_182BB0BE9E863BD4F461,umbrella,text-generated-illustration,AI / ยังไม่ยืนยันตรงรุ่นสินค้า,False,images/PRODUCT_182BB0BE9E863BD4F461-d4ff8022b5.png,d4ff8022b5199dbcaa207f572077b0f9ca28ae1710035c8ed9f4ca1ee3132878,,not recovered
AI-755dcf2032e22389,Neck Massager,PRODUCT_1A62713E2BB6B7F86553,neck_massager,text-generated-illustration,AI / ยังไม่ยืนยันตรงรุ่นสินค้า,False,images/PRODUCT_1A62713E2BB6B7F86553-755dcf2032.png,755dcf2032e22389376998348f849a4595533651eb1fb2827405773f934903b2,,not recovered
AI-18914e3aa37ebe13,Turbo Handheld Fan,PRODUCT_1CFEBE4392CCE75F5F29,fan,text-generated-illustration,AI / ยังไม่ยืนยันตรงรุ่นสินค้า,False,images/PRODUCT_1CFEBE4392CCE75F5F29-18914e3aa3.png,18914e3aa37ebe13815ab1ffd71340f8990596f7530204ab8debac47d6a0c04b,,not recovered
AI-251a38c1821b2a1f,Waist-cinched Fluted Coffee Cup,PRODUCT_102FB4D20D3424491ADB,drinkware,text-generated-illustration,AI / ยังไม่ยืนยันตรงรุ่นสินค้า,False,images/PRODUCT_102FB4D20D3424491ADB-251a38c182.png,251a38c1821b2a1fceefeac11ebeef64bc4140a63fb1bf994e0c64f2392c9bd5,,not recovered
AI-bec19a20024d4ea2,Car Wireless Charging Mount,PRODUCT_18641AA0722CDB1E823B,car_accessory,text-generated-illustration,AI / ยังไม่ยืนยันตรงรุ่นสินค้า,False,images/PRODUCT_18641AA0722CDB1E823B-bec19a2002.png,bec19a20024d4ea2490dd44fe60f21b73b2128c6188116a73a1cc9d0d4b24274,,not recovered
AI-91a6567a519efadc,Konka Neck Massager,PRODUCT_1A94DF089EE020D9F689,neck_massager,text-generated-illustration,AI / ยังไม่ยืนยันตรงรุ่นสินค้า,False,images/PRODUCT_1A94DF089EE020D9F689-91a6567a51.png,91a6567a519efadcb81545c6c7c26f9ee1ecd28c41543ac9cfcaf9d564b97be6,,not recovered
AI-9f018783adba0ccc,Cup,PRODUCT_1D4782C78860FA797F9F,drinkware,text-generated-illustration,AI / ยังไม่ยืนยันตรงรุ่นสินค้า,False,images/PRODUCT_1D4782C78860FA797F9F-9f018783ad.png,9f018783adba0ccc721b0346f08d422927402b18cce302f8fe27d73c405f5543,,not recovered
AI-ab1f5736e69c97a1,Mini Umbrella,PRODUCT_187FB978BA405FE797A0,umbrella,text-generated-illustration,AI / ยังไม่ยืนยันตรงรุ่นสินค้า,False,images/PRODUCT_187FB978BA405FE797A0-ab1f5736e6.png,ab1f5736e69c97a164c3eca2ef9fba1d2ea87999737cb20d5d595b1f6d213382,,not recovered
AI-6883d4c046d28d41,Mug,PRODUCT_116AC3BAD0979D6CFA0A,drinkware,text-generated-illustration,AI / ยังไม่ยืนยันตรงรุ่นสินค้า,False,images/PRODUCT_116AC3BAD0979D6CFA0A-6883d4c046.png,6883d4c046d28d41ca2d35e90ecaa2d5f2a128791ece1067c60daf04677336ed,,not recovered
AI-4f83915bc08522a9,Mouse,PRODUCT_1BECFFA30224E01647D7,mouse,text-generated-illustration,AI / ยังไม่ยืนยันตรงรุ่นสินค้า,False,images/PRODUCT_1BECFFA30224E01647D7-4f83915bc0.png,4f83915bc08522a999ea10af4d7d4af8d4d75fb2cc3eefa126faf3c5951c4bf5,,not recovered
AI-54dcc9e6381e426a,Mini Fan,PRODUCT_1E4955930C7E8078E328,fan,text-generated-illustration,AI / ยังไม่ยืนยันตรงรุ่นสินค้า,False,images/PRODUCT_1E4955930C7E8078E328-54dcc9e638.png,54dcc9e6381e426ad75c88bdee01743123e0e7678a955dd8ff29efcca1b86d27,,not recovered
AI-2568d4b797d4e40d,One Button To Open Vacuum Cup,PRODUCT_1C468DD7B42FC4899BBE,drinkware,text-generated-illustration,AI / ยังไม่ยืนยันตรงรุ่นสินค้า,False,images/PRODUCT_1C468DD7B42FC4899BBE-2568d4b797.png,2568d4b797d4e40dc7bcfb6ec71389745bc6ee516a5820d4d09d317197f5a898,,not recovered
AI-efde3879529775e1,Mouse Christmas,PRODUCT_1189250BBB22E62CE4FD,mouse,text-generated-illustration,AI / ยังไม่ยืนยันตรงรุ่นสินค้า,False,images/PRODUCT_1189250BBB22E62CE4FD-efde387952.png,efde3879529775e174edb8ddc9a8540caecb2ac60b20c2a0a060223c217f26a3,,not recovered
AI-79db227ec3922339,Notebook,PRODUCT_1E56FD7AB0B542E45CB3,notebook,text-generated-illustration,AI / ยังไม่ยืนยันตรงรุ่นสินค้า,False,images/PRODUCT_1E56FD7AB0B542E45CB3-79db227ec3.png,79db227ec3922339516781b142a0eb2c715800c0e9c4758740c156ad85b6d902,,not recovered
AI-c144c326c9ee44ed,ยังไม่ยืนยันชื่อสินค้า,,,text-generated-illustration,AI / ยังไม่ยืนยันตรงรุ่นสินค้า,False,images/unmapped-c144c326c9.png,c144c326c9ee44edb9cbfe0f968482202a5e46bbd534d4bbeb7e27c34e61bcd8,,not recovered
AI-60f82d75f9f32915,ยังไม่ยืนยันชื่อสินค้า,,,text-generated-illustration,AI / ยังไม่ยืนยันตรงรุ่นสินค้า,False,images/unmapped-60f82d75f9.png,60f82d75f9f3291546e4aa91e18f6fd2d2e9b7c9ea0ebda00abb5dee2191602f,,not recovered
AI-b7691899fb0bce46,Ink,PRODUCT_1FBC1D44D562E1BBFE95,,text-generated-illustration,AI / ยังไม่ยืนยันตรงรุ่นสินค้า,False,images/PRODUCT_1FBC1D44D562E1BBFE95-b7691899fb.png,b7691899fb0bce467002c1a16c443f3bd79fa443ad6d7bc8524654b850780047,,not recovered
AI-ce0aa91315850933,Mouse / FXD8812 / AI isolation review,,,source-guided-ai-isolation,AI / ยังไม่ยืนยันตรงรุ่นสินค้า,False,images/mouse-FXD8812-ai-isolation-ce0aa91315.png,ce0aa9131585093312b1bf855b6ad623aa237b84b1237b98f7847cefec9bad74,FXD8812,not recovered
